Nom_echantillons	Id	Couple	Type	Zone	Cross	pH_eau	pH_KCl	Pi	Azote_total	Calcaire_total	Carbone_total	Carbone_organique_total	C/N	Matiere_organique	Calcium	Magnesium	Manganese	Potassium	Argiles	Limons	Sables
DPSHB1	76	6	Spontane	Hors brule	Spontane_Hors brule	8.16	7.26	6.21741919	4.830490947	460	110.5942726	55.4	11.5	95.8	46.58	2.104	0.0158	0.2967	207	342	451
DPSB2	77	6	Spontane	Brule	Spontane_Brule	8.23	7.76	5.48635692	2.867017984	454	112.4405766	58	20.2	100	34.46	2.676	0.0428	0.3329	152	251	597
DPSHB2	78	6	Spontane	Hors brule	Spontane_Hors brule	8.24	7.69	5.34664053	2.724412084	471	109.9641705	53.4	19.6	92.4	33.91	2.584	0.0424	0.3303	145	261	594
DPSB3	79	6	Spontane	Brule	Spontane_Brule	8.25	7.64	9.38362267	2.839405239	458	88.61019135	33.7	11.9	58.3	43.39	1.25	0.0194	0.5706	269	291	440
DPSHB3	80	6	Spontane	Hors brule	Spontane_Hors brule	8.24	7.61	8.76461435	3.21631968	452	92.17565536	37.9	11.8	65.6	42.68	1.576	0.0284	0.6697	266	297	437
DPSB4	81	6	Spontane	Brule	Spontane_Brule	8.37	7.79	3.42867354	2.363815159	654	101.285429	22.8	9.65	39.4	40.73	0.3411	0.01	0.1911	204	206	590
DPSHB4	82	6	Spontane	Hors brule	Spontane_Hors brule	8.25	7.66	3.9027759	2.995376289	534	101.9166851	37.8	12.6	65.4	43.25	0.479	0.0197	0.2206	252	169	579
DPB1	83	6	Plante	Brule	Plante_Brule	8.38	7.75	2.85391928	2.248959541	703	112.5716877	28.2	12.5	48.8	37.83	0.8405	0.0068	0.1471	145	180	675
DPHB1	84	6	Plante	Hors brule	Plante_Hors brule	8.27	7.75	4.64641335	3.100241125	667	121.0947418	41.1	13.3	71.1	38.83	1.079	0.0138	0.2354	165	182	653
DPB2	85	6	Plante	Brule	Plante_Brule	8.39	7.79	3.78792935	2.189145833	696	116.35396	32.8	15	56.7	37.97	1.176	0.0119	0.1531	147	175	678
DPHB2	86	6	Plante	Hors brule	Plante_Hors brule	8.31	7.87	3.98478169	2.82096386	718	122.6533508	36.5	12.9	63.1	38.53	0.9649	0.0158	0.18	166	153	681
DPB3	87	6	Plante	Brule	Plante_Brule	8.32	7.76	4.0825431	1.583663225	155	36.13439322	17.5	11.1	30.3	29.49	0.9228	0.0203	0.1264	98	269	633
DPHB3	88	6	Plante	Hors brule	Plante_Hors brule	8.14	7.7	12.063984	1.986240894	144	40.42836189	23.1	11.6	40	29.54	1.121	0.0293	0.2205	101	291	608
DPB4	89	6	Plante	Brule	Plante_Brule	8.37	7.68	6.91828239	2.237337232	234	52.30317116	24.2	10.8	41.9	39.06	1.135	0.0137	0.4203	276	266	458
DPHB4	90	6	Plante	Hors brule	Plante_Hors brule	8.23	7.58	6.81640855	2.700839341	224	56.24860287	29.4	10.9	50.9	39.35	1.142	0.0156	0.5285	282	270	448
JMB1	91	7	Plante	Brule	Plante_Brule	8.2	7.4	5.74476064	2.482719868	111	47.16660023	33.8	13.6	58.5	13.94	3.882	0.0184	0.3407	124	340	536
JMHB1	92	7	Plante	Hors brule	Plante_Hors brule	7.94	7.32	12.2693083	3.664813638	106	60.29360294	47.6	13	82.3	14.62	4.478	0.0398	0.5214	147	293	560
JMB2	93	7	Plante	Brule	Plante_Brule	8.11	7.42	4.98201336	2.396390289	107	46.59786224	33.8	14.1	58.5	13.1	3.975	0.0141	0.3088	110	366	524
JMHB2	94	7	Plante	Hors brule	Plante_Hors brule	7.98	7.23	11.9949927	2.941125929	146	54.9032402	37.4	12.7	64.7	14.09	4.385	0.0306	0.5084	109	328	563
JMSB1	95	7	Spontane	Brule	Spontane_Brule	7.81	7.34	9.02705178	4.266685247	139	74.76482391	58.1	13.6	101	22	6.344	0.0465	0.3315	95	375	530
JMSHB1	96	7	Spontane	Hors brule	Spontane_Hors brule	7.82	7.14	8.92686516	2.839253545	40	44.56891537	39.8	14	68.9	15.26	4.798	0.0623	0.3648	139	223	638
JMSB2	97	7	Spontane	Brule	Spontane_Brule	7.34	6.77	3.2563516	1.911489218	5	24.24018383	23.6	12.3	40.8	10.84	3.578	0.0549	0.1822	110	214	676
JMSHB2	98	7	Spontane	Hors brule	Spontane_Hors brule	6.78	6.07	4.82295965	3.00801605	<1	40.01880169	40	13.3	69.2	11.02	3.659	0.0635	0.3448	114	200	686
